,Dates,Text
40,2021-11-12 00:00:16+00:00,"RT @SJosephBurns: 10 Most Popular Stocks Owned by Congress in 2021:

Company: Total Investors
Apple Inc 79
Microsoft Corp 66
Bank of Americ…"
41,2021-11-11 23:55:24+00:00,"@Suzierizzo1 @TiMoudou Lifetime ban on all commercial airlines; $50,000 fines; no profiting via a “tell-all” book/i… https://t.co/OLFMgzxULX"
42,2021-11-11 23:49:23+00:00,"RT @StockMKTNewz: Most active stocks in today's after-hours trading

Citi $C
Discovery $DISCA
Microsoft $MSFT
Paysafe $PSFE
Disney $DIS
$AM…"
43,2021-11-11 23:46:57+00:00,"RT @StockMKTNewz: Large cap stocks with the most shares traded today

Ford $F 95.7M shares
$SOFI 72.2M
Lucid $LCID  69.4M
$AMD 67.6M
Disney…"
44,2021-11-11 23:46:21+00:00,"U and UR APPLE INC GUYS WERE THINKING OF KEYBOARD TOO 

JUST LIKE BLOOMBERG : CHANGED IT TO STOCKS 

WE THOUGHT OF… https://t.co/3YgrlysDvj"
45,2021-11-11 23:27:29+00:00,"Most active stocks in today's after-hours trading

Citi $C
Discovery $DISCA
Microsoft $MSFT
Paysafe $PSFE
Disney… https://t.co/9E9Qkvlbp6"
46,2021-11-11 23:05:58+00:00,"RT @StockMKTNewz: Large cap stocks with the most shares traded today

Ford $F 95.7M shares
$SOFI 72.2M
Lucid $LCID  69.4M
$AMD 67.6M
Disney…"
47,2021-11-11 23:04:55+00:00,"New Music Friday, listen and add to you playlist, invest $myley stocks now oo 
https://t.co/qA32tBzGmJ"
48,2021-11-11 23:02:41+00:00,"RT @Lkjacobson: When someone decides to invest in a tech stock, they don’t blindly assume that each stock will perform the same. Apple, Mic…"
49,2021-11-11 23:01:12+00:00,"When someone decides to invest in a tech stock, they don’t blindly assume that each stock will perform the same. Ap… https://t.co/WrfXnrG0Yo"
50,2021-11-11 22:48:49+00:00,"RT @SJosephBurns: 10 Most Popular Stocks Owned by Congress in 2021:

Company: Total Investors
Apple Inc 79
Microsoft Corp 66
Bank of Americ…"
51,2021-11-11 22:47:47+00:00,I’m just debating whether to buy the iPhone 13 or spend that money on apple stocks
52,2021-11-11 22:39:27+00:00,"Apple Inc (AAPL) price at close, 2021-11-11, is 147.87."
53,2021-11-11 22:36:47+00:00,"RT @StockMKTNewz: Large cap stocks with the most shares traded today

Ford $F 95.7M shares
$SOFI 72.2M
Lucid $LCID  69.4M
$AMD 67.6M
Disney…"
54,2021-11-11 22:30:10+00:00,"#Earnings Tomorrow-P8
$VPCB $VWTR $WJRYY $WVFC $XSNX $YEWB $YZCAY $ZSAN 
Free stocks app https://t.co/S59zN18Con"
55,2021-11-11 22:30:09+00:00,"#Earnings Tomorrow-P7
$SGIOY $SINO $SKYE $SLS $SMCAY $SMFG $SMPR $SPIN $SPNX $SRNE $SSUMY $SSY $SUGBY $SVT $SVVC… https://t.co/pSJpwVWjRG"
56,2021-11-11 22:24:09+00:00,"RT @StockMKTNewz: Large cap stocks with the most shares traded today

Ford $F 95.7M shares
$SOFI 72.2M
Lucid $LCID  69.4M
$AMD 67.6M
Disney…"
57,2021-11-11 22:18:49+00:00,"RT @StockMKTNewz: Large cap stocks with the most shares traded today

Ford $F 95.7M shares
$SOFI 72.2M
Lucid $LCID  69.4M
$AMD 67.6M
Disney…"
58,2021-11-11 22:18:20+00:00,"#Ethereum #ETH November #Futures ⬆3.99% to $4,762.25 $ETH #Ether #futurestrading #future #Investment #investing… https://t.co/NKgjJNTiiM"
