,Dates,Text
37,2021-10-29 06:35:05+00:00,"It's time to reenter in PUT side positions

17900pe &amp; 17800pe looks good

Stocks to short

#HDFC &amp; #RELIANCE"
38,2021-10-29 06:29:37+00:00,"RT @makemytrendview: Today’s theme: 

STRENGTH
⬆   PSUBANK, MEDIA, AUTO, CONSUMPTION

WEAKNESS
⬇  PVTBANK, ENERGY

Stocks might be game cha…"
39,2021-10-29 06:25:26+00:00,"Today’s theme: 

STRENGTH
⬆   PSUBANK, MEDIA, AUTO, CONSUMPTION

WEAKNESS
⬇  PVTBANK, ENERGY

Stocks might be game… https://t.co/hgwf2InXHp"
40,2021-10-29 05:18:20+00:00,"RT @chandansanthosh: DONT PANIC FOR THIS CORECTION.

THIS IS THE RIGHT TIME TO FIND QUALITY STOCKS WITH GOOD RETRACEMENT ZONE. 

SPECIALLLY…"
41,2021-10-29 05:08:05+00:00,"RT @assetyogi: Which company do you think has the potential to replace the position of Reliance in the future? Comment below!
.
.
#stocks #…"
42,2021-10-29 04:28:18+00:00,"Buy: #RELIANCE  Price: 2598.6  Signal Date: 2021-10-28

System generated signal, trade at your own risk
#stocktips… https://t.co/UHUbCKxqMn"
43,2021-10-29 03:45:10+00:00,"Stocks in news: Reliance Industries, IRCTC, Zee Entertainment, Adani Enterprises and more
https://t.co/T4Olc9CZNi"
44,2021-10-29 03:22:12+00:00,"RT @FinancialXpress: Reliance, BPCL, Vedanta, UCO Bank, NTPC, Indian Bank, Tata Power, DLF, Shree Cement stocks in focus
#reliancejio #ntpc…"
45,2021-10-29 03:00:13+00:00,"RT @FinancialXpress: Reliance, BPCL, Vedanta, UCO Bank, NTPC, Indian Bank, Tata Power, DLF, Shree Cement stocks in focus
#reliancejio #ntpc…"
46,2021-10-29 02:59:42+00:00,"Reliance, BPCL, Vedanta, UCO Bank, NTPC, Indian Bank, Tata Power, DLF, Shree Cement stocks in focus
#reliancejio… https://t.co/DctShtSUxq"
47,2021-10-29 02:40:47+00:00,"RT @assetyogi: Which company do you think has the potential to replace the position of Reliance in the future? Comment below!
.
.
#stocks #…"
48,2021-10-29 01:32:05+00:00,Reliance Infra Q2 results: Co reports net loss at Rs 287 cr Total income during the quarter under review rose to Rs… https://t.co/fzGfMWQOM7
49,2021-10-28 21:49:09+00:00,$RS - Reliance Steel &amp; Aluminum's (RS) CEO Jim Hoffman on Q3 2021 Results - Earnings Call Transcript.… https://t.co/IPnwi4w9Sk
50,2021-10-28 20:02:15+00:00,Reliance Infra Q2 results: Co reports net loss at Rs 287 cr https://t.co/iZfza2PIBm
51,2021-10-28 18:12:43+00:00,RT @WefixitE: #Stocks Reliance Steel (RS) is an Incredible Growth Stock: 3 Reasons Why https://t.co/6kqcgm4npU
52,2021-10-28 17:53:28+00:00,@letsdoit_89 Have tried seeing in Nifty. But there is a lot of jugaad that keeps happening in nifty. Kabhi banks ba… https://t.co/j7lG7gs7xi
