,Dates,Text
30,2021-10-30 06:04:47+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
31,2021-10-30 06:01:04+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
32,2021-10-30 06:00:05+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
33,2021-10-30 05:59:33+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
34,2021-10-30 05:59:18+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
35,2021-10-30 05:57:06+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
36,2021-10-30 05:56:24+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
37,2021-10-30 05:54:59+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
38,2021-10-30 05:48:50+00:00,"@zerodhaonline Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Pr… https://t.co/fAQnXAqwO6"
39,2021-10-30 05:47:08+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
40,2021-10-30 05:44:06+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
41,2021-10-30 05:44:06+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
